Course ID,Course Title,Course Description,Course Prerequisites
01:988:425,Internship in Women's and   Gender Studies (6),"Interns work in organizations related to women's and gender studies.
Supervision by assigned staff at the placement site. Seminar, student
journal, paper, and assessment of work experience required.",Prerequisite: 01:988:301 or 302 or 303. Permission of   associate director required.
01:988:426,Internship for IWL Scholars (BA),"Examination of women, community activism, and leadership for change;
explores how women's leadership shapes organizations, social movements,
and policy development. Interns work in placements relevant to their
policy interests and produce proposals for social action projects.","Prerequisites: Acceptance into IWL Leadership Scholars   Program, 01:988:344, or by permission of instructor."
01:988:430,IWL Social Action Project (BA),"Independent action projects designed to address a particular problem or
women's policy issue relevant to the work done at the internship site.
Projects include gender component and development of leadership skills.
Class meets biweekly.",
01:988:481,"Gender, Visual Politics, and Cultural   Policy (3)",Examines the history of cultural contexts of visual   narratives that address gender and sexuality and their influence on   cultural policies.,Prerequisite: 01:988:101 or 201 or 202 or 235 or   permission of instructor.
01:988:482,"Feminism, Policy, and the Poor (3)","Explores the contributions of feminist analysis,   advocacy and policy making to antipoverty policy and social justice   politics.",Prerequisite: 01:988:101 or 201 or 202 or 235 or   permission of instructor.
01:988:485,"Motherhood: Nature and Culture,   Policy, and Politics (3)","Investigates how motherhood is shaped by intentional   public policies and social, economic, political, and cultural forces in the   United States and globally.",Prerequisite: 01:988:101 or 201 or 202 or 235 or   permission of instructor.
01:988:486,"Gender, Development, Environment:   Policies, Politics, Perspectives (3)","Using ethnography and gender as a category of   analysis, examines the experiences and implications of transnational   development and environmental policies in specific localities.",Prerequisite: 01:988:101 or 201 or 202 or 235 or   permission of instructor.
01:988:487,Language of Women's Health and   Health Policy (3),"Examines the creation of narratives of women's health and health
policy; through visits from health care experts, considers the impact
of these narratives on practice.",Prerequisite: 01:988:101 or 201 or 202 or 235 or   permission of instructor.
01:988:490,Seminar: Women and Contemporary   Issues (3),Intensive reading and discussion; designed for   graduating seniors. Topic changes annually.,Prerequisite: 01:988:301 or 302 or 303 or by   permission of instructor.
01:988:491,Seminar in Women's and Gender   Studies (3),Advanced course on a selected topic in women's   and gender studies. Paper is required.,Prerequisite: 01:988:301 or 302 or 303 or by   permission of instructor.
01:988:492,Seminar: Special Topics in   Women's and Gender Studies (3),"Selected interdisciplinary topics in women's and gender studies. Past
topics included sexuality, popular culture, women and religion, and
women and the arts.",Prerequisite: 01:988:301 or 302 or 303 or by   permission of instructor.
"01:988:493,494","Independent Study (3,3)",Independent study project under the guidance of a   faculty supervisor.,Permission of associate director required.
01:988:497-498,"Honors Research in Women's   and Gender Studies (3,3)",Individual research project to be written as honors   thesis.,Open only to seniors who are candidates for honors in   women's and gender studies. Permission of associate director   required. Both terms required.
