ID,Course ID,Course Title,Course Description,Course Prerequisites,Department,Department ID
23,01:014:130,African-American Literature (3),"Contemporary African-American expressive   literatures-poetry, critical essays,   novels, films, folklores, plays-analyzed for cosmology, style, structure, and content.",,Africana Studies,014
24,01:014:132,Black Experience and Film Medium (3),Critical evaluation of images of blacks in films.   Screening of films.,,Africana Studies,014
25,01:014:140,Introduction to American Cultures   (1.5),"Develops an understanding of the historical, social,   and political factors that distinguish the diverse cultures of present day   America.",Credit not given for both this course and 01:512:140.,Africana Studies,014
26,01:014:201,African Belief Systems and the Latino    Community (3),"Historical examination of ancestor worship, Santeria   (Cuba), Vodun (Santa Domingo), Espiritismo (Puerto Rico), and other   African-based belief systems. Formation from African to slave societies and   use in contemporary period.",Credit not given for both this course and 01:836:201.,Africana Studies,014
27,"01:014:203,204","The Black Experience in America   (3,3)","Interdisciplinary examination of African-Americans   within the context of American political economy, special conditions of   oppression, responses to exploitation, and resultant social changes.",,Africana Studies,014
28,01:014:205,Islamic Civilization (3),"Survey of Islamic societies from 7th-century Arabia to   modern times. Religious, political, military, social, economic, and   cultural institutions and organizational patterns.",Credit not given for both this course and 01:508:201.,Africana Studies,014
29,01:014:206,The Black Woman (3),Role of black women in survival and evolution of the   black race as presented in fictional and nonfictional literature.,Credit not given for both this course and 01:988:206.,Africana Studies,014
30,01:014:208,The Sociology of Black   Economic Development (3),"Socioeconomic, spatial, and political development of   alternatives to minority or black   capitalism within the local, regional, and national development strategies   of the United States.",,Africana Studies,014
31,01:014:212,Politics and Power in Modern Africa   (3),"Social and political changes in 20th-century Africa,   with an emphasis on South Africa since 1950.",,Africana Studies,014
32,01:014:213,Blacks in History (3),Roles played by Africans and people of African descent   in world history. An African-centric approach to historical inquiry.,,Africana Studies,014
33,01:014:215,Contemporary Issues and Their   Background (3),"Key controversial issues important to understanding   the contemporary black experience. Primary focus on three basic dimensions:   double-consciousness, decolonization and neocolonialism, and cultural   control. Systematic conceptual analysis.",,Africana Studies,014
34,01:014:222,The Black Elite (3),Emergence of a black elite; social relationships with   the white community and the black masses.,,Africana Studies,014
35,"01:014:223,224","Independent Study (1-4,1-4)",,"Prerequisites: 01:014:103, a minimum of 9 credits in   department or approved equivalent, and good academic standing. Faculty   proctor required. Registration by permission only.",Africana Studies,014
36,01:014:230,Psychology of the Black Experience   (3),"Evaluation of psychological principles, theories, and   assessment techniques in relation to the   personality and behavioral development of   African Americans.",,Africana Studies,014
37,01:014:233,Introduction to the Methodology   of Africana Studies (3),"Introduction to Africana studies through lectures,   multidisciplinary approaches to the study of Africana materials, original   research projects, and introduction to major archival resources.",,Africana Studies,014
38,01:014:240,Third-World Creative Writing (3),"Third-world contemporary prose classics as models of   creative expressions and as a basis for creative writing exercises,   geared to meet individual aptitudes, needs, and interests.",,Africana Studies,014
39,01:014:255,History of Black Education in the   United States (3),Principles and policies underlying the educational   process among blacks; social and political impact.,,Africana Studies,014
40,01:014:258,Intellectual Thought in the African   Diaspora (3),Basic social and political ideas in the history of   black ideology.,,Africana Studies,014
41,01:014:269,Black Religion (3),"Social, philosophical, historical, and sociopsychological understanding
of black America's oldest and largest institution. Influence in
economic, political, social, and spiritual life of the black community.",,Africana Studies,014
42,01:014:274,Black Civilizations (3),Introduction to ancient and medieval black African   civilizations with emphasis on the political and religious thought and   technological achievement of African empires.,,Africana Studies,014
43,01:014:276,Black Social and Political   Development (3),"Survey of the recent trends regarding health,   unemployment, poverty, economics, electoral politics, and international   relations.",,Africana Studies,014
44,01:014:285,African-American Narrative Analysis   (3),Collection and analysis of African-American narrative   material. Evaluation based on various   analytical structures and approaches.,,Africana Studies,014
45,01:014:304,Afromusicology (3),"Various forms of African-American music: spiritual,   gospel, blues, folk, and jazz. African and Western influences: role,   development patterns, and function in sociocultural context.",,Africana Studies,014
46,01:014:306,The Black Woman in Political Context   (3),"Takes political-historical approach from precolonial traditional
African women to contemporary black feminism and liberation; emphasis
on the black woman's distinct consciousness, family relationships,
organizations, institutions, political activities, and revolutionary
ideologies.",,Africana Studies,014
47,01:014:316,Caribbean Society in Literature (3),"Introduction to the political, social, and historical   life of the Caribbean (Jamaica, Trinidad, Barbados, Guyana, and St. Lucia)   through the novels, poems, and essays of its writers.",,Africana Studies,014
48,01:014:317,Black Profiles (3),"Portrayal of the movements and events of Africa and   dispersion through studies of black leaders-their lives, works, and   writings.",,Africana Studies,014
49,01:014:318,"Bigotry, Prejudice, and Racism:   Psychological Foundations (3)",Basic conscious and unconscious psychological factors   in racist behavior and attitudes. Evaluation of explanatory theories and   empirical data as presented by contemporary psychiatrists and   psychologists.,,Africana Studies,014
50,01:014:321,African Presence in American Cultures   (3),"Examination of African influence on black life and   culture in the New World-on language, art, music, and cuisine.",,Africana Studies,014
51,01:014:323,Seminar in the Philosophy of   Africana Studies (3),Disciplinary problems involved in constructing a   paradigm for the philosophy of the discipline.,,Africana Studies,014
52,01:014:330,Contemporary Issues in Southern   Africa (3),"Examines contemporary events in South Africa and   Namibia within the neocolonial problems of the frontline states   (Tanzania, Zimbabwe, Angola, Mozambique, and Botswana).",,Africana Studies,014
53,01:014:340,Third-World Writing and Criticism (3),Essays in literary criticism with third-world prose   classics as basis for critiques. Study of the short story and exercises in short-story writing.,,Africana Studies,014
54,"01:014:341,342","Supervised Community Placement   (3,3)","Supervised study and experience in a black community   of the United States, the Caribbean, South America, or Africa.",,Africana Studies,014
55,01:014:347,Health Issues in the African-American    Community (3),"Health problems affecting black communities and their   relevance to understanding black political, social, and psychological   attitudes.",,Africana Studies,014
56,01:014:349,Topics in American Politics (3),Special topics in American politics that vary with the   instructor.,Prerequisite: Special permission. Credit not given for   both this course and 01:790:349.,Africana Studies,014
57,01:014:350,African-American Linguistics (3),Historical and varying manifestations of black English   in the Western hemisphere.,,Africana Studies,014
58,01:014:353,Black Community Law and Social Change   (3),Origins of racism in the judicial process and its   effects on the black community since slavery.,,Africana Studies,014
59,01:014:355,Blacks and Economic Structures (3),"Scope and organization of economic activity in the   black commu- nity; investments,   ownership of capital, exploitation of the consumer and wage earner.",,Africana Studies,014
60,01:014:356,Muslims and Islamic Institutions in   America (3),"Explores the bonds of Muslim community, the meaning of   Muslim- American identity, how immigrant groups are assimilating into   American society, and institutional frameworks being adopted for national   integration.",Credit not given for both this course and 01:685:355.,Africana Studies,014
61,01:014:357,Islam in the Global Black Experience   (3),"Examination of the sociopolitical dimensions of Islam   in Africa and the African diaspora, and the interactions between Islam and   such ideologies as nationalism and race consciousness in black communities   internationally.",,Africana Studies,014
62,01:014:359,Blacks and Jews in American History   (3),Explores the history of blacks and Jews in America   with an eye on three centuries of cooperation and conflict.,Credit not given for both this course and 01:512:359   or 01:563:359.,Africana Studies,014
63,01:014:360,Writers of Africa and the New World   (3),"Comparison of black writers of Africa, the United   States, and the Caribbean, with focus on areas of commonality and   divergence.",,Africana Studies,014
64,01:014:362,"Black Identity, Religion, and   Politics (3)","Analysis of social, psychological, and institutional   forces shaping group and individual identity of blacks.",,Africana Studies,014
65,01:014:363,"Race, Class, Gender, and Schooling   (3)","Examines racial and gender differences in adolescents' school
performance. Structural, historical, and cultural foci. Ethnographic
and autobiographical cases of black students and other students of
color.",Pre- or corequisite: 01:070:101 or permission of   instructor. Credit not given for both this course and 01:070:363 or 01:  988:363.,Africana Studies,014
66,01:014:365,Black Migration and Urbanization (3),"Black migration to industrial-urban centers; problems   of urbanization. Present interrelationships among racial demography,   ecology, social psychology, and the planning process within cities.",,Africana Studies,014
67,01:014:366,The History of Race and Sex in   America (3),Examines how race and gender have independently and   jointly determined life chances throughout American history.,Credit not given for both this course and 01:512:366.,Africana Studies,014
68,01:014:367,African Labor History (3),"Precolonial and colonial labor mobilization, control,   and resistance; working class formation; the labor process and worker consciousness.",Credit not given for both this course and 01:508:420.,Africana Studies,014
69,01:014:369,Black Theology (3),"Exploration into theological concepts, terms, and   expressions as they relate to the African and the African American.",Pre- or corequisite: 01:014:269.,Africana Studies,014
70,01:014:370,The Afro-Atlantic Diaspora (3),Introduction to history of African diaspora in the   Americas and the Caribbean. Traces origins and development of the   Atlantic slave trade and the creation of new African-based cultures in    the Americas.,,Africana Studies,014
71,01:014:371,African Development (3),"Analysis of the historical, political, demographic,   economic, and sociocultural problems of African underdevelopment within   world spatial structure and the contemporary scene.",Prerequisite: 01:014:212.,Africana Studies,014
72,01:014:376,Pan-African Movement (3),Pan-Africanism and its development among the black   elite on both sides of the Atlantic from   the early 19th century to the present.,,Africana Studies,014
73,01:014:380,Blacks in Science: Ancient and Modern   (3),"Lost sciences of inner Africa; African contributions   to early dynastic Egyptian science and, with Arabs, to medieval Moorish   science; African-American science and invention.",Pre- or corequisite: 01:014:274 or 321.,Africana Studies,014
74,01:014:404,Seminar on Contemporary Race   Relations (3),Analysis of the theoretical structure of race   relations and evaluation of its relevance to research in contemporary   situations.,,Africana Studies,014
75,01:014:410,Afro-Brazilian History (3),"Overview of history of largest African diaspora   community in world. Encourages critical analysis of major issues in   African-Atlantic diaspora studies. Principal scholarship supplemented    with selected readings in literature, oral history, Afro-Brazilian   movement documents, and iconography.",Open to juniors and seniors only. Credit not given for   both this course and 01:590:410.,Africana Studies,014
76,01:014:413,Colonialism and Neocolonialism (3),"Political and economic aspects of colonialism.   Colonized mind and behavior as portrayed by such authors as Mannoni,   Balandier, Memmi, and Fanon. Neocolonialism as a technique of control.",,Africana Studies,014
77,01:014:418,Major African-American Writers (3),"Study of one to three major African-American writers,   such as Richard Wright, Ralph Ellison, James Baldwin, Langston Hughes,   and Imamu Baraka; social implications of their creative work.",,Africana Studies,014
78,01:014:423,Black Thought: A Philosophical   Inquiry (3),Investigation into a notion of a black philosophy as   various philosophical terminologies explored.,Prerequisite: 01:014:323.,Africana Studies,014
79,01:014:460,Methodology in Africana Studies   Research (3),Techniques of research. Historical and contemporary   research models used. Methodologies and theories of research.,,Africana Studies,014
80,01:014:461,African Political Economy (3),"Examination of the explanation for the contradictions between Africa's
wealth and apparent poverty. Analysis of various national development
paths, such as capitalism, African socialisms, Ujamaa, and communism.",,Africana Studies,014
81,01:014:481,The Black Family (3),Consideration of the black family in historical and   contemporary contexts: nuclear versus extended families; two-parent and   female-headed households; rural and urban environmental effects.,"Prerequisite: Junior, senior, or graduate standing.   Recommended: Previous seminar course work.",Africana Studies,014
82,01:014:490,Seminar in Africana Studies (3),"Independent research under faculty guidance, or   classroom orientation focusing on a major topic   exploring the black experience.",,Africana Studies,014
83,"01:014:491,492","Independent Study (1-4,1-4)",,"Prerequisites: 01:014:233, a minimum of 18 credits in   department or approved equivalent, and good academic standing. Faculty   proctor required. Registration by permission only.",Africana Studies,014
84,01:014:495,African Diaspora Field Study (3),"Social and cultural study of selected communities of   the African diaspora including African heritage, historical development,   and analysis of contemporary issues.",Prerequisite: Appropriate foreign language competence   for non-English speaking locations.,Africana Studies,014
85,01:014:497-498,"Africana Studies Scholars Project   (6,6)","To graduate with highest honors, students must   participate in this departmental honors project or, with approval,   substitute the Mabel Smith Douglass Honors Project, the Livingston   College Paul Robeson Project, the Henry Rutgers Scholars Program, or the   University College-New Brunswick Honors Program.",Both terms must be completed to receive credit.,Africana Studies,014
86,01:050:101,Introduction to American Studies (3),"Introduces the American studies method through the use   of primary documents including novels, autobiographies, paintings,   photographs, and films. Note: Students who wish to major in American   studies must complete this course with a grade of C or better.",,American Studies,050
87,01:050:202,American Regionalism (3),"Multidisciplinary study of the regions of the United   States, with focus on their literature, folklore, music, and other   arts.",,American Studies,050
88,01:050:216,America in the Arts (3),"What is ""American"" about American art and   design; examination of the architecture as well as fine, folk, and   industrial arts and artifacts of the United States. Normally a craft   project required of students.",,American Studies,050
89,01:050:228,The Contemporary American (3),"The emerging American of our times. Forces shaping   American culture as revealed in literature, the media, social   criticism, and psychology.",,American Studies,050
90,01:050:240,Latino/Latina American Cultures (3),"Introductory survey of recent texts and films by and   about Latinas/os in the United States. Discussion of exile, integration,   and assimilation; political presence and nationalism; and examination   of literary modes and genres (autobiography, poetry, novel, film, music).   Special attention to the migration experiences of Mexican-American, Puerto   Rican, Cuban, and Dominican communities.",,American Studies,050
91,01:050:259,Popular Culture (3),"How popular culture shapes and reflects society in   advertising, music, popular entertainments, fads, fashion, radio,   television, sports, and games.",,American Studies,050
92,01:050:261,The American Best Seller (3),Representative best-selling novels of recent decades   and what they and their popularity indicate about American values and assumptions.,,American Studies,050
93,01:050:262,American Film and American Myth (3),"American film and its relationship to American myths,   society, and culture. Representative classic films screened.",,American Studies,050
94,01:050:263,American Folklore (3),"Traditional verbal and material lore. American folk   narratives, myths, legends, tales, ballads, and songs. How folklore   functions in American society and institutions.   One field trip: $10.",,American Studies,050
95,01:050:264,American Folklife (3),"Examination of the lifestyles of American folk groups   with emphasis on artifacts: folk architecture, handicrafts, art,   costume, and foods.   One field trip: $10.",,American Studies,050
96,"01:050:281,282,283,284","Topics in American   Studies (1.5,1.5,1.5,1.5)",Half-term minicourses given each year on topics of   contemporary interest that lend themselves to interdisciplinary treatment.,Lec. 3 hrs. May be repeated for credit when topic   differs.,American Studies,050
97,01:050:291,Jerseyana: New Jersey as a Culture   (3),"Interdisciplinary, regional approach to New Jersey,   examining its landscape, the peculiarities of its history, its folklore and   myths, arts and architecture, music, and literature.   One field trip: $10.",,American Studies,050
98,"01:050:300,301","Topics in American Studies (3,3)",Topics of contemporary interest that lend themselves   to interdisciplinary treatment.,May be repeated for credit when topic differs.,American Studies,050
99,01:050:303,A Decade in American Culture (3),"Interdisciplinary approach to understanding a   particular decade in American culture, employing the arts, humanities,   and social sciences. Decade studied depends on the instructor.",Open only to American studies majors. To be completed   prior to enrollment in 01:050:389. Prerequisite: 01:050:101 in which   student has received a grade of C or better.,American Studies,050
100,01:050:304,The American City (3),"Interdisciplinary approach to the origin, development,   and problems of the American city.   One field trip: $10.",,American Studies,050
101,01:050:305,Images of Vietnam (3),"Examination of the various ways that the Vietnam war   has been represented in American popular culture. Material includes films,   novels, memoirs, reportage, and histories.",,American Studies,050
102,01:050:306,American Detective Fiction and Film   (3),"Examination of the distinctively American literary   genre of the hard-boiled detective novel and the many films that this   genre has inspired, including a look at film noir.",,American Studies,050
103,01:050:307,The Culture of the 1960s (3),"Examination of the culture of the 1960s, with emphasis on the civil
rights movement, the war in Vietnam and student radicalism, Woodstock,
women's liberation, and the sexual revolution, using social history,
literature, music, and film.",,American Studies,050
104,01:050:308,The Culture of Metropolis (3),"Examination of the urban culture of New York City in   the 19th and 20th centuries, emphasizing the   impact of race, class, gender, and ethnicity on developing subcultures.",,American Studies,050
105,01:050:309,Nineteenth-Century Architecture in the    United States (3),"Overview of the social and intellectual history of architecture in the
United States to 1900. Role of architecture in societal transformations
(the development of nationhood, industrialization, and urbanization).
Emphasis on the invention of new building types, including
universities, government buildings, prisons, hospitals, railroad
stations, and the architecture of World's Fairs.","Prerequisite: 01:082:105,106 or permission of   instructor.",American Studies,050
106,01:050:312,Sports in American Culture (3),"Examines the place of sports in American life and how   sports may be thought of as ""the American religion,"" as a   metaphor for American ideals and values. Figures from the world of   sports-players and coaches-will be regular guest speakers.",,American Studies,050
107,01:050:314,Technology and Culture in America (3),"Cultural responses to the growth and elaboration of   American technology as reflected in literature, art, and popular culture.",,American Studies,050
108,01:050:315,Documentary Expression in America (3),"Relationship between the social and aesthetic   functions of documentary in film, photography, journalism, biography, and   the nonfiction novel.",,American Studies,050
109,01:050:324,Wayward Americans (3),"Cultural approach to the means by which socially   dominant groups in American society have sought   to control deviant behavior. Examination of   social theory, social history, literature, and film.",,American Studies,050
110,01:050:325,Women on the Fringe: Perceptions of   Women as Social and   Sex-Role Deviants   in American Civilization (3),"Societal reaction to female behavior deviating from   social and feminine norms. Use of historical narratives, literature,   and film to treat such themes as heresy, madness, prostitution,   adultery, criminality, political protest, and lesbianism.",,American Studies,050
111,01:050:326,The Culture of American Women (3),"Construction of feminine culture as distinct from the   dominant patriarchal culture, examining social history, religion,   psychology, sociology, oral history, literature, and film.",,American Studies,050
112,01:050:329,The United States as Seen from Abroad   (3),"United States as perceived by foreign commentators,   such as Dickens, Trollope, and Waugh, and American expatriate intellectuals   and artists, such as James, Hemingway, and Baldwin.",,American Studies,050
113,01:050:330,American Cults and Communes (3),"Examination of historic and fictional communal and   religious experiments, illuminating their surprising similarities and what   they tell us about American society and culture. From the Shakers and the   Oneida community through Jonestown and the Hare Krishnas. Texts include   novels and feature films.",,American Studies,050
114,01:050:331,Ethnic America (3),"Examination of cultural pluralism and the means by   which ethnic groups such as Irish, Italians, Jews, African Americans,    Asian Americans, and Hispanics have constructed their ethnic    identities and the political and cultural forces that shaped those   constructions.",,American Studies,050
115,01:050:332,The American Jewish Experience in   Literature (3),"Patterns of alienation and assimilation of an American   ethnic group as portrayed in its literature. Attention to early narratives    as well as the works of contemporary writers such as Roth, Potok,   Bellow, Malamud, and Singer.",,American Studies,050
116,01:050:333,The Cultures of Consumption (3),"Examination of the development of mass society, mass   production, and consumption from the 1880s to the present. Areas considered   may include industrialization and the development of work in relation to leisure, the development of the advertising   industry, television, technology, and popular and mass production and    consumption.",,American Studies,050
117,01:050:335,Jewish-American Women: Contested   Lives (3),"Explores the Jewish-American female identity in   autobiography and memoir, social history, literature, and film. Examines   interplay of religious belief, secularism, social mobility, and   acculturating influences within American experience.",Credit not given for both this course and 01:563:335   or 01:988:334.,American Studies,050
118,01:050:341,The Child in America (3),"Evolution of concepts of childhood and adolescence in   America and of child-rearing practices through an examination of social    history, religious tracts, novels, poetry,   film, and child care manuals.",,American Studies,050
119,01:050:342,American Sexuality (3),"Changing American attitudes toward sexual expression   and changes in sexual behavior. Examination of literature, film, 19th-   and 20th-century advice manuals, and reports on sexual behavior such as the   Kinsey Report and the works of Masters and Johnson.",,American Studies,050
120,01:050:365,American Folk Song and Ballad (3),"Social concerns in folk songs-sources and   circulation in oral tradition, with reference to lyrical folk songs,   narrative folk songs, traditional ballads, broadside ballads, and   Native-American ballads.",,American Studies,050
121,01:050:366,Folklore of American Occupational and    Regional Groups (3),"Folklore of occupational groups such as sailors,   lumbermen, cowboys, and miners, and of regional groups such as southern   mountaineers, Mississippi Delta blacks, Louisiana Cajuns, and Jersey   Pineys.",,American Studies,050
122,01:050:389,Junior Seminar in American Studies   (4),A required interdisciplinary seminar for majors. Theme   dependent on instructor.,To be taken by American studies majors in their junior   year after completing 01:050:101 and 303.,American Studies,050
123,01:050:390,Special Problems in American Culture   (4),"Independent study of an interdisciplinary nature,   which may be expressed in a paper, audiovisual project, or   other creative enterprise.",Permission of department and instructor during   preceding term required. May be repeated for credit with permission of   department.,American Studies,050
124,01:050:450,Seminar: Folk Festival Management (4),"Designed to accompany presentation of New Jersey Folk   Festival. Readings in histories of folk performance and fieldwork in   folklore, as well as planning and production of public event.",Prerequisite: Permission of instructor during   preceding term required.,American Studies,050
125,"01:050:487,488,489","Seminars in American Studies   (4,4,4)",Interdisciplinary seminars for majors. Themes   dependent on instructor.,For American studies majors who have completed 01:050:  389.,American Studies,050
126,01:050:490,Advanced Problems in American Culture   (4),"Independent study of an interdisciplinary nature,   which may be expressed in a paper, audiovisual project, or   other creative enterprise.",Permission of department and instructor during   preceding term required. May be repeated for credit with permission of   department.,American Studies,050
127,01:070:101,Introduction to Cultural Anthropology   (4),"History of cultural anthropology; changing theoretical   and methodological approaches; fieldwork, ethnographic writing, and the   culture concept; cross-cultural analyses and comparisons; complex society;   local, regional, and global perspectives.",,Anthropology,070
128,01:070:102,Introduction to Human Evolution (4),"Evolutionary processes, including adaptation and   speciation; fossil and archaeological records of human morphological and   social-behavioral evolution.",,Anthropology,070
129,01:070:104,Introduction to Human Evolution   Honors Laboratory (1),"Laboratory honors course to accompany 01:070:102.   Topics include lab and field methodologies in physical anthropology, human   fossil record, primate evolution, human evolutionary biology, and   evolutionary theory.",Corequisite: 01:070:102. Students must have a   grade-point average of 3.4 or better or permission of instructor to   enroll.,Anthropology,070
130,01:070:105,Introduction to Archaeology (4),"Overview of human prehistory over the past 5 million   years, from origins in Africa to the spread of people first to Asia and   Europe, and later to Australia and the Americas, culminating in the   archaeology of colonial contact between Europe and distant lands.",,Anthropology,070
131,01:070:108,Introduction to Linguistic   Anthropology (4),"Language as a social action, language and culture,   language use in specific sociocultural contexts.",,Anthropology,070
132,01:070:204,Introduction to Social Evolution (3),"Principles underlying social evolution with special   emphasis on humans: natural selection, kinship, parent-offspring   conflict, parental investment, parasites, sexual selection,   cooperation, deceit, and self-deception.",,Anthropology,070
133,01:070:205,Evolution and Culture (3),"Examination of current research on the relationship   between evolutionary biology and culture. Topics include animal culture   studies, cultural transmission theory, gene-culture coevolution, and the   application of signaling theory to human cultural phenomena.",Prerequisite: 01:070:204.,Anthropology,070
134,01:070:206,Survey of New World Prehistory (3),Focus on the major cultural traditions and adaptations   from the earliest appearance of humans in the Americas through   the colonial period.,Prerequisite: 01:070:105.,Anthropology,070
135,01:070:207,Survey of Old World Prehistory (3),Focus on the major cultural traditions and adaptations   from the earliest appearance of the human lineage to the   establishment of literate complex societies and early civilizations.,Prerequisite: 01:070:105.,Anthropology,070
136,01:070:208,Survey of Historical Archaeology (3),"Introduction to the archaeology of historic   times-the interpretation of the past   using both archaeological residues and written documents. Emphasis on   Africa, Britain, and North America.",Prerequisite: 01:070:105.,Anthropology,070
137,01:070:210,Approaches to Human Nature (3),"Critique of the ""cultural relativist"" and   ""cultural constructionist"" positions through a consideration of   the literature on cultural universals, human ethology and sociobiology,   small groups, and play.",,Anthropology,070
138,01:070:212,Survey of the Living Primates (3),"Introduction to the primate order, emphasizing the   morphological and behavioral adaptations of the major groups.",,Anthropology,070
139,01:070:213,Environment and Human Evolution (3),Analysis of influence of environment on evolution in   record of human ancestry. Morphological and physiological adaptations    of humans in reaction to environmental controls.,,Anthropology,070
140,01:070:215,Survey of Fossil Primates (3),"Outline of primate evolution; origin of primates and   primate relatives; description and paleoecology of fossil species,   including Paleocene and Eocene species, Malagasy lemurs, first higher   primates, New World and Old World monkeys, and Miocene apes; hominid   origins.",,Anthropology,070
141,01:070:216,Anthropology and Modern Problems (3),"Selected topics including conflict of productive and   reproductive systems, location and nature of social power, roles of   symbolism and zealotry in defining group boundaries.",,Anthropology,070
142,01:070:220,Food and Culture (3),"Culinary customs studied cross-culturally. Food in   relation to sex, kinship, politics, economics, and religion. Visual,   olfactory, textural, and gastronomic food preferences. Values and   nutrition. World nutritional systems.",,Anthropology,070
143,01:070:222,Anthropology of Sexuality and   Eroticism (3),"Anthropological approaches to human sexuality,   including social evolutionary, ethnographic, cross-cultural,   sociobiological, cultural constructionist, and postcolonial.",,Anthropology,070
144,01:070:225,Women in an Anthropological   Perspective (3),"Women in evolutionary and cross-cultural perspectives.   Economic, public, and domestic roles; social status; gender and sexuality.",,Anthropology,070
145,01:070:230,Indians of North America I (3),"Ways of life of North American Indians and Eskimos.   Histories, languages, economic bases, social forms, and belief systems.",,Anthropology,070
146,01:070:231,Indians of North America II (3),Concentration by each student on a particular Indian   society and culture.,,Anthropology,070
147,01:070:232,American Indians of New Jersey (3),Archaeological and ethnohistorical perspectives on the   origins and way of life of the Lenape (Delaware).,Prerequisite: 01:070:105.,Anthropology,070
148,01:070:238,Anthropology of Europe (3),"European societies and cultures in modern history;   changing anthropological perspectives. Gender, ethnicity, and class.   Representations and realities of Europe in the making, including issues of   nation-building, colonialism, mass culture, and violence.",,Anthropology,070
